Country;XBRL Repo;Mandate Affects Fiscal Year Beginning;API Access to Reports;Notes;;
Austria;TRUE;2020;;;;
Belgium;TRUE;2021;;;;
Bulgaria;FALSE;2021;;;;
Croatia;TRUE;2021;;;;
Cyprus;FALSE;2021;;;;
Czechia;TRUE;2020;;;;
Denmark;TRUE;2021;;;;
Estonia;TRUE;2021;;;;
Finland;TRUE;2021;;;;
France;TRUE;2021;;;;
Germany;TRUE;2020;;;;
Greece;FALSE;2021;;;;
Hungary;TRUE;2021;;;;
Iceland;FALSE;2021;;;;
Ireland;FALSE;2021;;;;
Italy;FALSE;2021;;;;
Latvia;TRUE;2021;;;;
Liechtenstein;FALSE;2020;;National XBRL Custom Format, 2020;;
Lithuania;TRUE;2021;;;;
Luxembourg;FALSE;2021;;;;
Malta;FALSE;2021;;;;
Netherlands;TRUE;2021;;;;
Norway;FALSE;2021;;;;
Poland;FALSE;2021;;;;
Portugal;TRUE;2021;;;;
Romania;FALSE;2021;;;;
Slovakia;FALSE;2021;;;;
Slovenia;TRUE;2020;;;;
Spain;TRUE;2021;;;;
Sweden;FALSE;2021;;;;
United Kingdom;TRUE;2020;;;;
